  560.00 1590.00 4100.00 5000.00 3820.00 4540.00 4520.00 4300.00  175.00    0.00    0.00    0.00
 3120.00 3110.00 3810.00 4270.00 2700.00 3790.00 1070.00 2050.00  175.00    0.00    0.00    0.00
 3800.00 4250.00 3590.00 2970.00 3130.00 4690.00 2790.00 4980.00  175.00    0.00    0.00    0.00
 3200.00 3000.00 4200.00 3140.00 2060.00 4490.00 4680.00 4510.00  175.00    0.00    0.00    0.00
 4400.00 1600.00 4900.00 3650.00 4610.00 2630.00 4600.00 3950.00  175.00    0.00    0.00    0.00
 4220.00 4910.00 4530.00 4130.00 4280.00 4500.00 1500.00 3410.00  175.00    0.00    0.00    0.00
 4030.00 1440.00 5000.00 3610.00 2950.00 4500.00 1540.00 3040.00  175.00    0.00    0.00    0.00
 3720.00 2980.00 4300.00 4510.00 4340.00 3680.00 2720.00 4400.00  175.00    0.00    0.00    0.00
 2460.00 3600.00  520.00 4550.00 2750.00 3440.00 4480.00 3990.00  175.00    0.00    0.00    0.00
 3630.00 2950.00 4750.00 2800.00 2610.00 4230.00 4040.00 3730.00  175.00    0.00    0.00    0.00
 3150.00 3060.00 4160.00 4050.00 1100.00 3720.00 2550.00 4420.00  175.00    0.00    0.00    0.00
 3670.00 1000.00 4800.00 3960.00 3890.00 4790.00 1980.00 2180.00  175.00    0.00    0.00    0.00
