    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8    80.8
 3260.00  500.00 3750.00 3500.00 3660.00 1050.00 2050.00 4600.00 4590.00 4480.00 3010.00 4540.00  260.00 3200.00 4590.00 2130.00 1440.00  490.00
 3660.00 3690.00 4590.00 3850.00 3750.00 4600.00 3930.00 3790.00 4540.00 3530.00 4970.00 4300.00 3800.00 4270.00 3590.00 4190.00 4650.00 1370.00
 3490.00 3420.00 3370.00 3020.00 2370.00 3840.00 4620.00 4140.00 2560.00 4600.00 4260.00  430.00 2680.00 4500.00  180.00 4850.00 4030.00 4070.00
 4090.00 4720.00 4030.00 3560.00  220.00 4510.00 4200.00 4420.00 4380.00 4570.00 4980.00 4000.00 4480.00 2010.00 3800.00 1360.00  360.00 3620.00
 4700.00 1060.00 3600.00 1860.00 4030.00 3580.00 4820.00 1110.00 3490.00 4740.00 3230.00 4100.00 4800.00 4510.00 4460.00 4500.00 3210.00 3000.00
 3750.00 3730.00 3510.00  240.00 3500.00 3590.00 1450.00 3660.00 4250.00  540.00 4010.00 3590.00 3140.00 3350.00 4520.00 4800.00 4410.00 2020.00
 3700.00 3990.00 4020.00 2950.00 3440.00 3420.00 4610.00 4020.00 3890.00 4160.00 3970.00 4230.00 2930.00 4130.00 3190.00 3970.00 3080.00  930.00
 3840.00 1520.00 4510.00 1990.00 4800.00 3990.00 4980.00 2660.00 4590.00 4600.00 4580.00 3280.00 4510.00 4360.00 2980.00 3900.00 1440.00 4870.00
 4010.00 3660.00 3680.00 2540.00 4680.00 4350.00 5000.00  610.00 2980.00 3010.00 4640.00 4210.00 4620.00 3920.00 2660.00 3500.00 3300.00 3490.00
 3080.00 2100.00 3520.00 4580.00 3650.00 4600.00 1490.00 4810.00 4240.00 3630.00 3980.00 2700.00 3800.00 4500.00 3200.00 4620.00 3420.00 3500.00
 4500.00 4580.00 4600.00 4620.00 4540.00  570.00 4990.00  530.00 4970.00  390.00 4360.00 3810.00 2070.00 1610.00 4570.00 3410.00  820.00  330.00
 4730.00 4590.00 3020.00 4900.00 4820.00 3940.00 2240.00  190.00 5000.00 3770.00 2080.00 1450.00 2310.00 1950.00 3020.00 4700.00 3870.00 4600.00
 2490.00 1040.00 4600.00 1860.00 4120.00 4140.00 4410.00 2020.00 3030.00 4000.00 3200.00  770.00 4590.00 4470.00 3490.00 2660.00 2200.00 4090.00
