  5.0002364e+000  3.6461744e+000  3.5443005e+000  4.1643635e+000  5.7421448e+000  6.6652971e+000  5.2143794e+000  4.0094505e+000  3.9719429e+000  3.1903943e+000  3.2413299e+000  4.1484074e+000
  8.5838239e+000  6.5196282e+000  3.1694468e+000  3.9853546e+000  7.6752909e+000  7.2525130e+000  3.2861824e+000  3.9014679e+000  3.8609460e+000  3.1836334e+000  3.7471158e+000  7.3866610e+000
  8.0637335e+000  6.8941733e+000  3.1384607e+000  5.6202548e+000  7.6299501e+000  5.8927299e+000  4.9291998e+000  3.4208061e+000  4.6160310e+000  3.3600776e+000  5.8136750e+000  8.7314568e+000
  6.8349998e+000  6.5873324e+000  4.3399371e+000  5.9213889e+000  6.5223304e+000  6.0908940e+000  4.2236865e+000  3.8898950e+000  3.8756588e+000  2.9504212e+000  7.2092631e+000  6.9794563e+000
  8.7515626e+000  7.6274370e+000  4.6303093e+000  5.2173400e+000  6.8826265e+000  4.9662710e+000  3.4167223e+000  4.2599888e+000  5.7006486e+000  4.5973556e+000  5.8356767e+000  7.7035242e+000
  7.5321690e+000  6.2532116e+000  5.1986785e+000  2.1106349e+000  5.4568124e+000  4.1498546e+000  1.8926837e+000  4.2276313e+000  5.6947248e+000  3.9513849e+000  5.0375916e+000  7.1623499e+000
  5.9041426e+000  5.9648300e+000  5.9054987e+000  2.2305412e+000  3.2772720e+000  5.7379601e+000  2.3294721e+000  4.8134135e+000  5.9273710e+000  3.8428349e+000  3.5357215e+000  5.7154668e+000
  5.9434862e+000  5.7286237e+000  6.7733199e+000  4.1895813e+000  3.4743258e+000  7.2705434e+000  3.8145266e+000  4.4358901e+000  7.9946080e+000  7.3432507e+000  4.9407307e+000  6.0685250e+000
  6.8796647e+000  6.5227321e+000  6.0146092e+000  4.9105911e+000  4.3083379e+000  6.0612893e+000  5.1532922e+000  5.1621110e+000  6.9417745e+000  7.0192640e+000  4.3390821e+000  6.6585926e+000
  7.7620324e+000  7.7836714e+000  7.6763950e+000  5.5481842e+000  7.1539250e+000  8.0822272e+000  7.3073191e+000  8.2431546e+000  8.3935868e+000  8.0467368e+000  6.0480245e+000  6.9796740e+000
  9.9807906e+000  1.0023537e+001  9.9045957e+000  8.0692019e+000  9.0561675e+000  1.0129716e+001  1.0438740e+001  1.0545173e+001  1.1175186e+001  1.1124719e+001  1.0485466e+001  9.2014629e+000
  7.5890542e+000  7.4868150e+000  7.2191508e+000  6.5595622e+000  6.1050504e+000  6.5066375e+000  6.8070086e+000  6.7035433e+000  6.8001678e+000  6.9269715e+000  7.3563864e+000  7.4597839e+000
