-26.48	-45.93	630	1.6000	'KNR159-10GGC'
25.98	-78.18	654	1.3000	'OCE205-106GGC'
25.98	-78.18	743	1.2000	'OCE205-108GGC'
52.15	-12.77	749	0.9856	'GEOB6728-1_ISO'
52.15	-12.77	758	NAN	'GEOB6719-1'
-3.67	-37.72	767	1.4300	'GeoB3104'
32.94	-76.55	775	0.7000	'KNR140-68GGC'
26.22	-77.67	783	1.2000	'OCE205-33GGC'
-27.37	-46.84	790	1.5000	'KNR159-99GGC'
29.25	-11.50	796	1.2000	'GIK16006-1'
34.96	-7.12	803	1.2700	'GIK15666-6'
21.25	-17.80	812	1.0018	'GIK16017'
-33.47	-17.03	898	0.6100	'V16-51'
-26.39	-45.69	898	NaN	'KNR159-153JPC'
52.16	-12.75	900	0.9911	'GeoB6718-2'
32.99	-76.41	900	1.0000	'KNR140-63JPC'
-27.27	-46.63	936	1.4000	'KNR159-38JPC'
-27.25	-46.63	938	1.4000	'KNR159-37GGC'
15.48	-17.36	945	0.7500	'GIK12345-5'
-20.40	11.62	965	0.5540	'V19-258'
26.07	-78.07	965	1.4215	'OCE205-103GGC'
-5.20	11.33	1000	-0.1100	'MG-237'
-4.00	10.00	1000	NaN 	'BT4'
33.00	-76.36	1005	1.2000	'KNR140-61GGC'
29.17	-12.09	1024	NAN	'GIK15627-3'
26.06	-78.03	1057	1.5000	'OCE205-100GGC'
-27.35	-46.63	1105	1.3000	'KNR159-90GGC'
-27.35	-46.63	1108	1.1000	'KNR159-105JPC'
-27.89	-46.04	1128	1.3000	'KNR159-73GGC'
57.51	-15.85	1134	0.9611	'ODP982'
58.73	-15.57	1139	1.0700	'V29-198'
-19.87	11.03	1170	NaN	'V19-259'
35.89	-7.53	1177	NaN 	'MD99-2339'
26.94	-77.85	1183	1.3000	'OCE205-97JPC'
35.97	-7.82	1201	NAN	'LYIndian-13A'
32.98	-76.32	1205	1.2000	'KNR140-59GGC'
-27.25	-46.47	1253	1.1000	'KNR159-MC35E'
-27.51	-46.47	1268	1.1400	'KNR159-5-36'
12.09	-61.24	1299	1.0163	'M35003-4'
26.14	-77.23	1320	1.2025	'OCE205-7JPC'
55.00	-19.00	1326	1.3200	'V29-193'
-42.00	1.00	1335	0.5800	'TN057-20'
28.89	-13.23	1358	1.0367	'GeoB4240'
-31.46	15.31	1372	0.4450	'ODP1087'
32.94	-76.30	1400	0.8000	'KNR140-56GGC'
59.19	-30.90	1416	1.3467	'SO82_5-2'
34.91	-7.58	1482	1.0000	'GIK15670-5'
54.96	-19.76	1491	1.2691	'GIK23419'
32.93	-76.28	1495	0.8000	'KNR140-54GGC'
21.24	-18.06	1500	0.92	'GIK16030'
29.98	-10.65	1512	1.185	'GIK16004'
3.52	5.57	1515	0.6900	'KW-31'
26.03	-77.88	1535	1.4000	'OCE205-117JPC'
-27.70	-46.52	1567	1.1000	'RC16-119'
-27.70	-46.50	1604	1.1000	'KNR159-MC15D'
32.93	-76.25	1605	1.1000	'KNR140-53GGC'
-27.70	-46.49	1627	0.9000	'KNR159-17JPC'
61.00	-24.00	1650	1.1137	'ODP984'
61.42	-24.11	1653	NaN	'EW9302-14JPC'
-22.45	12.36	1683	0.2200	'IOW226920-3'
-29.37	13.99	1713	0.8700	'ODP1085'
16.52	-78.81	1750	1.0000	'KNR64-5'
58.63	-19.43	1756	0.9500	'BOFS14K'
35.65	-8.06	1765	1.205	'GIK11944-2'
32.78	-76.12	1790	0.9000	'KNR140-51GGC'
-27.77	-46.43	1796	1.2000	'KNR159-MC130A'
-27.49	-46.34	1823	1.0000	'KNR159-MC75'
64.78	-29.57	1855	0.91	'V28-14'
54.31	-18.18	1859	1.3100	'GIK17048'
-22.52	-39.90	1890	1.2000	'CAM-61PC'
64.80	-29.60	1893	1.2036	'GIK23519'
32.75	-76.24	1903	0.5000	'KNR140-50GGC'
