-START-OF-DATA-
0000.0	7.740
9000.0	7.727
16000.0	7.665
20000.0	7.786
32000.0	7.697
36000.0	7.664
38000.0	7.718
40000.0	7.737
42000.0	7.697
44000.0	7.679
46000.0	7.783
59000.0	7.465
62000.0	7.469
65000.0	7.543
73000.0	7.448
76000.0	7.457
79000.0	7.440
96000.0	7.543
105000.0	7.547
114000.0	7.512
122000.0	7.494
130000.0	7.489
131000.0	7.478
135000.0	7.593
141000.0	7.525
142000.0	7.598
145000.0	7.718
149000.0	7.507
150000.0	7.595
160000.0	7.684
174000.0	7.741
187000.0	7.572
187000.0	7.574
194000.0	7.751
214000.0	7.616
217000.0	7.697
229000.0	7.705
239000.0	7.713
252000.0	7.637
269000.0	7.728
271000.0	7.623
281000.0	7.827
289000.0	7.693
309000.0	7.815
321000.0	7.635
333000.0	7.744
343000.0	7.814
373000.0	7.673
9999999.9	7.740
-END-OF-DATA-
