-START-OF-DATA-
000000.0  0.0
  1850.0  0.0
1850		0.052
1850.0833		0.052
1850.1667		0.053
1850.25		0.053
1850.3333		0.053
1850.4167		0.054
1850.5		0.054
1850.5833		0.054
1850.6667		0.054
1850.75		0.054
1850.8333		0.054
1850.9167		0.054
1851		0.054
1851.0833		0.054
1851.1667		0.054
1851.25		0.054
1851.3333		0.054
1851.4167		0.054
1851.5		0.054
1851.5833		0.054
1851.6667		0.054
1851.75		0.055
1851.8333		0.055
1851.9167		0.055
1852		0.055
1852.0833		0.056
1852.1667		0.056
1852.25		0.056
1852.3333		0.057
1852.4167		0.057
1852.5		0.057
1852.5833		0.057
1852.6667		0.057
1852.75		0.057
1852.8333		0.058
1852.9167		0.058
1853		0.058
1853.0833		0.058
1853.1667		0.058
1853.25		0.058
1853.3333		0.058
1853.4167		0.059
1853.5		0.059
1853.5833		0.06
1853.6667		0.06
1853.75		0.061
1853.8333		0.062
1853.9167		0.063
1854		0.064
1854.0833		0.065
1854.1667		0.066
1854.25		0.067
1854.3333		0.068
1854.4167		0.068
1854.5		0.069
1854.5833		0.069
1854.6667		0.07
1854.75		0.07
1854.8333		0.07
1854.9167		0.07
1855		0.07
1855.0833		0.07
1855.1667		0.07
1855.25		0.07
1855.3333		0.071
1855.4167		0.071
1855.5		0.071
1855.5833		0.071
1855.6667		0.072
1855.75		0.072
1855.8333		0.073
1855.9167		0.073
1856		0.074
1856.0833		0.074
1856.1667		0.074
1856.25		0.075
1856.3333		0.075
1856.4167		0.076
1856.5		0.076
1856.5833		0.076
1856.6667		0.076
1856.75		0.076
1856.8333		0.076
1856.9167		0.077
1857		0.077
1857.0833		0.077
1857.1667		0.077
1857.25		0.077
1857.3333		0.077
1857.4167		0.077
1857.5		0.077
1857.5833		0.077
1857.6667		0.077
1857.75		0.077
1857.8333		0.077
1857.9167		0.077
1858		0.077
1858.0833		0.077
1858.1667		0.078
1858.25		0.078
1858.3333		0.078
1858.4167		0.078
1858.5		0.078
1858.5833		0.078
1858.6667		0.079
1858.75		0.079
1858.8333		0.079
1858.9167		0.08
1859		0.08
1859.0833		0.081
1859.1667		0.081
1859.25		0.082
1859.3333		0.082
1859.4167		0.082
1859.5		0.083
1859.5833		0.084
1859.6667		0.084
1859.75		0.085
1859.8333		0.086
1859.9167		0.086
1860		0.087
1860.0833		0.088
1860.1667		0.088
1860.25		0.089
1860.3333		0.09
1860.4167		0.09
